keys,en,de
"Eksperckość pokazana jest jako układanka pod obrazem centralnym — im wyższa wartość procentowa, tym bardziej „poukładana” wygląda (czysto kosmetyczny wskaźnik postępu). Wpływa WYŁĄCZNIE na szansę wczesnego ostrzeżenia o podróbce w Domu aukcyjnym — nigdy na szacowaną wartość obrazu ani na ceny.","Expertise is shown as a jigsaw puzzle under the central image — the higher the percentage, the more “assembled” it looks (a purely cosmetic progress indicator). It affects ONLY your chance of an early forgery warning at the Auction House — never a painting's estimated value or prices.","Die Expertise wird als Puzzle unter dem zentralen Bild dargestellt — je höher der Prozentwert, desto „zusammengesetzter“ sieht es aus (ein rein kosmetischer Fortschrittsanzeiger). Sie beeinflusst AUSSCHLIESSLICH die Chance auf eine frühzeitige Fälschungswarnung im Auktionshaus — niemals den geschätzten Wert eines Gemäldes oder Preise."
"Ekran główny pokazuje siatkę 8 kategorii stylistycznych z licznikiem X/5 obrazów zebranych w każdej. Kategoria staje się klikalna dopiero, gdy masz w niej choć jeden obraz — puste kategorie są widoczne, ale nieaktywne, żeby od razu było widać, ile jeszcze zostało do zdobycia w każdym stylu.","The main screen shows a grid of 8 style categories with an X/5 counter of paintings collected in each. A category only becomes clickable once you own at least one painting in it — empty categories are visible but inactive, so you can see at a glance how much is left to collect in each style.","Der Hauptbildschirm zeigt ein Raster mit 8 Stilkategorien und einem X/5-Zähler der darin gesammelten Gemälde. Eine Kategorie wird erst anklickbar, wenn du mindestens ein Gemälde darin besitzt — leere Kategorien sind sichtbar, aber inaktiv, sodass auf einen Blick erkennbar ist, wie viel in jedem Stil noch fehlt."
"Dotknięcie odblokowanej kategorii pokazuje miniaturki Twoich obrazów w tym stylu; dotknięcie miniaturki otwiera duży podgląd z pełnym opisem — tytułem, autorem, rokiem powstania i muzeum. Przycisk w prawym dolnym rogu zawsze cofa dokładnie jeden poziom wyżej (z podglądu do miniaturek, z miniaturek do kategorii, z kategorii do Huba) — nigdy nie przeskakuje od razu do Huba z głębszego poziomu.","Tapping an unlocked category shows thumbnails of your paintings in that style; tapping a thumbnail opens a large preview with a full description — title, artist, year, and museum. The button in the bottom-right corner always goes back exactly one level (from preview to thumbnails, from thumbnails to categories, from categories to the Hub) — it never jumps straight to the Hub from a deeper level.","Das Antippen einer freigeschalteten Kategorie zeigt Miniaturansichten deiner Gemälde in diesem Stil; das Antippen einer Miniaturansicht öffnet eine große Vorschau mit vollständiger Beschreibung — Titel, Künstler, Entstehungsjahr und Museum. Die Schaltfläche unten rechts geht immer genau eine Ebene zurück (von der Vorschau zu den Miniaturansichten, von dort zu den Kategorien, von den Kategorien zur Zentrale) — sie springt nie direkt von einer tieferen Ebene zur Zentrale."
"Im pełniejsza Twoja kolekcja (0 do 40 obrazów), tym jaśniejsza i bardziej „żywa” staje się cała sala galerii oraz głośniejsza podkładająca ją muzyka — czysto kosmetyczny, ale satysfakcjonujący sygnał postępu w stronę zwycięstwa.","The fuller your collection (0 to 40 paintings), the brighter and more “alive” the whole gallery hall becomes, and the louder its background music — a purely cosmetic, but satisfying signal of progress towards victory.","Je voller deine Sammlung (0 bis 40 Gemälde), desto heller und „lebendiger“ wird der gesamte Galeriesaal und desto lauter seine Hintergrundmusik — ein rein kosmetisches, aber befriedigendes Zeichen des Fortschritts auf dem Weg zum Sieg."
"Górna część ekranu pokazuje Twój aktualny status ochrony: bez ochroniarza masz ok. 5% szans na tydzień, że ktoś ukradnie Ci obraz z kolekcji. „Zatrudnij ochroniarza (5000 M)” to jednorazowa opłata, która całkowicie eliminuje to ryzyko na resztę gry — przycisk blokuje się, gdy już go masz.",The top of the screen shows your current protection status: without a bodyguard you have about a 5% chance per week that someone steals a painting from your collection. “Hire bodyguard (5000 M)” is a one-time fee that completely eliminates this risk for the rest of the game — the button becomes disabled once you already have one.,"Der obere Teil des Bildschirms zeigt deinen aktuellen Schutzstatus: ohne Leibwächter liegt die Chance bei etwa 5% pro Woche, dass dir jemand ein Gemälde aus der Sammlung stiehlt. „Leibwächter anheuern (5000 M)“ ist eine einmalige Gebühr, die dieses Risiko für den Rest der Partie vollständig beseitigt — die Schaltfläche wird deaktiviert, sobald du bereits einen hast."
"Sekcja „Gangsterzy” pokazuje trzech najemników do wyboru — Vito „Brzytwa”, Rosa Cień i Karl Żelazna Ręka — każdy z inną szansą powodzenia napadu, widoczną przy portrecie i zmieniającą się codziennie (tak jak kursy koni). Wybierz gangstera i rywala AI z dwóch rozwijanych list na dole, potem „Wyślij gangstera (3000 M)” — animacja skoku pokaże wynik próby.","The “Gangsters” section shows three hired hands to choose from — Vito “The Razor”, Rosa Shadow and Karl Iron Hand — each with a different success chance for a heist, shown next to their portrait and changing daily (just like the horses' odds). Pick a gangster and an AI rival from the two dropdown lists at the bottom, then “Send gangster (3000 M)” — a heist animation shows the outcome.","Der Abschnitt „Gangster“ zeigt drei zur Auswahl stehende Handlanger — Vito „Die Rasierklinge“, Rosa Schatten und Karl Eisenhand — jeder mit einer anderen Erfolgschance für einen Einbruch, angezeigt neben dem Porträt und täglich wechselnd (wie die Pferdequoten). Wähle einen Gangster und einen KI-Rivalen aus den beiden Auswahllisten unten, dann „Gangster losschicken (3000 M)“ — eine Einbruchs-Animation zeigt das Ergebnis."
"Sukces oznacza kradzież jednego obrazu wybranemu rywalowi (liczba obrazów każdego rywala widoczna w sekcji „Rywale” powyżej). Nieudana próba ma ok. 50% szans zakończyć się złapaniem Twojego gangstera — wtedy płacisz dodatkową grzywnę 2000 M; w pozostałych przypadkach tracisz tylko opłatę za wysłanie, bez dalszych konsekwencji.","Success means stealing one painting from the chosen rival (each rival's painting count is shown in the “Rivals” section above). A failed attempt has roughly a 50% chance of ending with your gangster getting caught — you then pay an extra 2000 M fine; otherwise you just lose the fee you paid to send them, with no further consequences.","Erfolg bedeutet, dem gewählten Rivalen ein Gemälde zu stehlen (die Anzahl der Gemälde jedes Rivalen wird im Abschnitt „Rivalen“ oben angezeigt). Ein gescheiterter Versuch endet mit etwa 50% Wahrscheinlichkeit damit, dass dein Gangster gefasst wird — dann zahlst du eine zusätzliche Geldstrafe von 2000 M; ansonsten verlierst du nur die Gebühr fürs Losschicken, ohne weitere Folgen."
"Sześć koni ma własne portrety i kursy (np. ×2,0 do ×16,0 w typowym układzie, w praktyce od 1,3 do 20,0) — kursy zmieniają się codziennie, dryfując losowo, tak jak ceny na Giełdzie. Im wyższy kurs przy koniu, tym większa potencjalna wygrana, ale mniejsza szansa, że akurat on wygra wyścig.","Six horses have their own portraits and odds (e.g. ×2.0 to ×16.0 in a typical spread, in practice from 1.3 to 20.0) — the odds change daily, drifting randomly just like Stock Market prices. The higher a horse's odds, the bigger the potential payout, but the lower the chance that it actually wins the race.","Sechs Pferde haben eigene Porträts und Quoten (z.B. ×2,0 bis ×16,0 in einer typischen Verteilung, in der Praxis von 1,3 bis 20,0) — die Quoten ändern sich täglich und schwanken zufällig, genau wie die Börsenkurse. Je höher die Quote eines Pferdes, desto größer der mögliche Gewinn, aber desto geringer die Chance, dass es das Rennen tatsächlich gewinnt."
"Wybierz konia z rozwijanej listy, ustaw kwotę zakładu (od 100 do 50 000 M, krokiem po 100) i naciśnij „Postaw zakład” — rusza ok. 30-sekundowa animacja wyścigu z przewijanym torem. Wygrana wypłaca zakład pomnożony przez kurs wybranego konia; przegrana zabiera cały zakład bez zwrotu. Po każdym postawionym zakładzie obowiązuje 7-dniowy okres odnowienia (widoczny jako odliczanie pod przyciskiem), zanim będzie można postawić kolejny.","Pick a horse from the dropdown list, set your bet amount (from 100 to 50,000 M, in steps of 100) and press “Place bet” — a roughly 30-second race animation with a scrolling track begins. A win pays out the bet multiplied by the chosen horse's odds; a loss takes the whole bet with no refund. Every bet placed is followed by a 7-day cooldown (shown as a countdown under the button) before you can place another.","Wähle ein Pferd aus der Auswahlliste, lege den Wetteinsatz fest (von 100 bis 50.000 M, in Schritten von 100) und drücke „Wette platzieren“ — eine rund 30-sekündige Rennanimation mit scrollender Strecke beginnt. Ein Sieg zahlt den Einsatz multipliziert mit der Quote des gewählten Pferdes aus; eine Niederlage nimmt den gesamten Einsatz ohne Rückerstattung. Nach jeder platzierten Wette gilt eine 7-tägige Sperrfrist (als Countdown unter der Schaltfläche angezeigt), bevor die nächste möglich ist."
Poziom trudności:,Difficulty:,Schwierigkeitsgrad:
Bardzo łatwy,Very easy,Sehr leicht
Łatwy,Easy,Leicht
Normalny,Normal,Normal
Trudny,Hard,Schwer
Bardzo trudny,Very hard,Sehr schwer
"Wygrywasz, gdy zdobędziesz wszystkie obrazy z głównego katalogu — 40 na trzech trudniejszych poziomach, 15 na dwóch najłatwiejszych. Przegrywasz, jeśli przez 60 kolejnych dni gry masz ujemną gotówkę (bankructwo) albo jeśli rywal skompletuje kolekcję pierwszy. W grze wieloosobowej (hot-seat, do 4 graczy) wygrywa ten gracz, który jako pierwszy skompletuje kolekcję.","You win by collecting every painting in the main catalogue — 40 on the three harder difficulty levels, 15 on the two easiest. You lose if your cash stays negative for 60 consecutive game days (bankruptcy), or if a rival completes the collection first. In multiplayer (hot-seat, up to 4 players), whoever completes the collection first wins.","Du gewinnst, wenn du alle Gemälde des Hauptkatalogs besitzt — 40 auf den drei schwereren Schwierigkeitsgraden, 15 auf den beiden leichtesten. Du verlierst, wenn dein Kontostand 60 Spieltage in Folge negativ bleibt (Bankrott) oder ein Rivale die Sammlung zuerst vervollständigt. Im Mehrspielermodus (Hotseat, bis zu 4 Spieler) gewinnt, wer die Sammlung als Erstes vervollständigt."
"Poziom trudności (wybierany raz, przy zakładaniu nowej gry, wspólny dla wszystkich graczy) to więcej niż sam próg zwycięstwa — steruje też, jak często zdarzają się negatywne losowe zdarzenia (susza, zamieszki, kradzieże, krachy giełdowe, reforma walutowa) i jak dotkliwe są ich skutki, a także ile plonu dają plantacje: od Bardzo łatwego (zero takiego ryzyka, poczwórny plon) po Bardzo trudny (pełne ryzyko, ale wciąż półtora raza więcej plonu niż dawniej).","The difficulty level (chosen once, when starting a new game, shared by all players) is more than just the win threshold — it also controls how often negative random events happen (drought, unrest, theft, stock crashes, currency reform) and how severe their effects are, as well as how much plantations yield: from Very Easy (zero of that risk, quadruple yield) to Very Hard (full risk, but still one and a half times more yield than before).","Der Schwierigkeitsgrad (einmal beim Start einer neuen Partie gewählt, für alle Spieler gemeinsam) ist mehr als nur die Siegschwelle — er steuert auch, wie oft negative Zufallsereignisse auftreten (Dürre, Unruhen, Diebstahl, Börsencrashs, Währungsreform) und wie schwerwiegend ihre Folgen sind, sowie wie viel die Plantagen abwerfen: von Sehr leicht (kein solches Risiko, vierfacher Ertrag) bis Sehr schwer (volles Risiko, aber immer noch anderthalbmal mehr Ertrag als früher)."
